Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Revenue
7 Series,2023,Africa,Black,Electric,Manual,2.0,137330,48663,6136,Low,298596168
M3,2018,Middle East,Silver,Diesel,Automatic,4.3,100348,116382,1977,Low,230087214
7 Series,2024,Africa,Silver,Diesel,Manual,4.5,139045,65820,1992,Low,131113440
5 Series,2018,South America,Grey,Hybrid,Automatic,2.5,48127,84007,9815,High,824528705
X3,2019,Middle East,Silver,Electric,Manual,1.8,4274,71879,7124,High,512065996
i3,2021,Asia,Black,Diesel,Manual,4.2,154317,41480,3966,Low,164509680
M3,2021,North America,Red,Hybrid,Manual,2.8,112315,116793,8567,High,1000565631
5 Series,2023,Middle East,Black,Petrol,Manual,4.0,33600,68103,4262,Low,290254986
7 Series,2022,South America,Black,Hybrid,Manual,2.8,32863,101928,9924,High,1011533472
5 Series,2020,South America,Silver,Diesel,Manual,1.7,86271,38832,3668,Low,142435776
7 Series,2019,Europe,Silver,Hybrid,Automatic,2.5,199152,69988,828,Low,57950064
X3,2019,South America,Silver,Hybrid,Manual,1.9,51822,116475,245,Low,28536375
M5,2022,Middle East,Black,Electric,Automatic,3.5,123012,107256,723,Low,77546088
i8,2018,North America,Black,Hybrid,Automatic,4.7,187585,38760,7768,High,301087680
X5,2024,Africa,White,Petrol,Automatic,4.3,172200,57913,1144,Low,66252472
M5,2022,Middle East,Silver,Petrol,Manual,4.8,119379,117406,6222,Low,730500132
X5,2020,Europe,Grey,Electric,Manual,1.8,13648,90330,9318,High,841694940
M5,2024,Middle East,Black,Diesel,Manual,2.1,154678,75663,6521,Low,493398423
3 Series,2024,South America,Silver,Petrol,Automatic,3.3,199589,61436,5422,Low,333105992
X3,2023,Africa,Blue,Electric,Manual,3.7,115242,35381,2990,Low,105789190
X3,2024,Asia,Black,Hybrid,Automatic,1.8,94087,118406,238,Low,28180628
X1,2018,North America,Red,Electric,Manual,3.1,100744,50668,5555,Low,281460740
X6,2019,North America,Grey,Petrol,Automatic,2.1,23490,106298,8980,High,954556040
M3,2020,North America,Blue,Petrol,Automatic,4.3,74006,63757,9310,High,593577670
M3,2024,Africa,Grey,Hybrid,Automatic,3.5,93729,45056,5000,Low,225280000
X3,2022,South America,Grey,Petrol,Automatic,3.8,159298,41694,4270,Low,178033380
7 Series,2022,South America,Grey,Electric,Manual,3.8,174388,39906,6038,Low,240952428
i3,2023,North America,Grey,Petrol,Automatic,3.4,16370,65309,813,Low,53096217
X6,2020,Europe,Black,Hybrid,Manual,3.0,171592,94398,450,Low,42479100
X6,2024,Asia,White,Hybrid,Automatic,2.5,101006,112581,2326,Low,261863406
M3,2020,Asia,Black,Electric,Manual,4.3,45493,41939,8936,High,374766904
M5,2018,South America,Silver,Hybrid,Automatic,3.4,65267,72159,7213,High,520482867
M5,2019,South America,Grey,Electric,Manual,2.0,47218,64261,5942,Low,381838862
X3,2024,Europe,Blue,Hybrid,Manual,3.1,168441,47221,9472,High,447277312
X3,2023,North America,Red,Electric,Manual,4.0,131877,74655,4087,Low,305114985
3 Series,2019,Asia,Silver,Petrol,Automatic,3.5,75044,62379,4188,Low,261243252
X1,2024,Africa,Grey,Electric,Automatic,4.0,87313,96962,9456,High,916872672
X5,2018,Middle East,Black,Petrol,Manual,3.5,92454,114268,2930,Low,334805240
3 Series,2021,North America,Grey,Diesel,Automatic,2.5,109475,52501,2111,Low,110829611
i3,2018,Europe,Blue,Hybrid,Manual,2.4,154868,63328,8195,High,518972960
X5,2023,Middle East,Blue,Electric,Manual,2.1,90118,70199,5213,Low,365947387
M5,2023,Europe,Black,Electric,Manual,1.7,120267,53444,9949,High,531714356
5 Series,2020,Africa,Silver,Hybrid,Manual,2.1,104137,73966,4230,Low,312876180
X1,2021,South America,White,Hybrid,Manual,3.9,140963,75297,7220,High,543644340
X5,2023,Africa,Grey,Electric,Manual,4.9,154971,59514,672,Low,39993408
X1,2019,Europe,Black,Electric,Manual,3.8,81828,117789,2446,Low,288111894
3 Series,2024,South America,White,Electric,Manual,4.9,25813,89133,7411,High,660564663
X1,2020,South America,White,Hybrid,Automatic,4.7,35189,33100,408,Low,13504800
M5,2018,Africa,Silver,Diesel,Automatic,2.3,161714,84907,1345,Low,114199915
M5,2021,Middle East,Black,Petrol,Automatic,1.7,185669,83051,9487,High,787904837
X6,2024,Asia,Grey,Hybrid,Automatic,3.5,64332,89536,9300,High,832684800
X5,2018,Asia,Blue,Hybrid,Manual,3.3,82358,44714,7518,High,336159852
X5,2019,South America,Grey,Hybrid,Manual,3.6,64458,40876,223,Low,9115348
3 Series,2019,Africa,Silver,Electric,Automatic,2.0,12503,99138,8088,High,801828144
M5,2024,Africa,Silver,Electric,Manual,3.4,8501,33368,7574,High,252729232
M3,2022,South America,Red,Electric,Automatic,3.0,46581,37218,6901,Low,256841418
3 Series,2020,Middle East,White,Diesel,Automatic,1.7,77832,72081,6870,Low,495196470
M3,2020,Asia,Black,Electric,Automatic,3.8,38117,101673,9345,High,950134185
X1,2020,Asia,Black,Petrol,Automatic,2.9,75875,32050,757,Low,24261850
X6,2019,South America,Black,Hybrid,Manual,4.6,97861,36565,6514,Low,238184410
7 Series,2023,North America,Grey,Diesel,Manual,2.1,114229,57792,7344,High,424424448
3 Series,2022,Middle East,Black,Petrol,Automatic,3.3,7598,32425,8835,High,286474875
X5,2023,Africa,Red,Diesel,Automatic,4.3,81245,73253,2514,Low,184158042
X1,2023,Europe,White,Petrol,Manual,4.6,75597,118072,8146,High,961814512
i8,2018,Europe,Grey,Electric,Manual,4.8,30615,76103,3774,Low,287212722
X3,2018,Middle East,White,Hybrid,Manual,1.5,53121,80871,9541,High,771590211
i8,2019,Africa,White,Petrol,Manual,1.7,13217,79800,1456,Low,116188800
5 Series,2024,South America,Black,Electric,Automatic,3.6,48287,59136,5862,Low,346655232
7 Series,2024,Asia,Blue,Hybrid,Manual,4.2,113854,105743,5545,Low,586344935
X5,2022,Europe,White,Petrol,Automatic,2.4,166067,67124,4804,Low,322463696
i3,2023,South America,Silver,Petrol,Manual,4.0,185391,62403,633,Low,39501099
3 Series,2022,Middle East,Grey,Petrol,Manual,3.3,19698,64545,3654,Low,235847430
i8,2024,Africa,White,Petrol,Manual,4.4,85845,102047,3930,Low,401044710
i8,2024,Africa,Black,Diesel,Manual,3.1,164889,117175,1964,Low,230131700
M5,2020,North America,Blue,Electric,Manual,2.2,173270,102927,6357,Low,654306939
3 Series,2018,Asia,Black,Petrol,Manual,3.2,41475,107821,9047,High,975456587
3 Series,2018,Africa,Black,Hybrid,Manual,3.2,115481,87945,4071,Low,358024095
7 Series,2018,North America,Silver,Diesel,Manual,2.0,95460,111083,8427,High,936096441
M5,2018,Asia,Black,Hybrid,Manual,1.9,39664,65159,7653,High,498661827
7 Series,2022,Europe,White,Petrol,Manual,3.6,73437,71718,8157,High,585003726
5 Series,2019,Africa,White,Petrol,Automatic,3.3,48507,113029,3290,Low,371865410
M3,2022,Asia,White,Hybrid,Automatic,4.1,62012,96640,8067,High,779594880
i3,2024,North America,Grey,Hybrid,Manual,2.4,124061,89272,6394,Low,570805168
X5,2023,Middle East,Black,Electric,Manual,2.6,32735,40872,487,Low,19904664
5 Series,2020,Asia,Grey,Electric,Manual,3.6,21968,43051,1017,Low,43782867
M3,2019,Asia,Silver,Hybrid,Manual,2.5,125021,90755,3273,Low,297041115
3 Series,2018,Africa,Black,Electric,Automatic,4.4,93516,69772,7751,High,540802772
M3,2023,Europe,Red,Diesel,Manual,2.4,42213,106808,8455,High,903061640
i3,2020,North America,White,Hybrid,Manual,3.2,105127,50265,2866,Low,144059490
X5,2018,Africa,Blue,Electric,Manual,4.3,151915,38536,244,Low,9402784
5 Series,2021,North America,Red,Electric,Manual,4.6,80766,89891,2864,Low,257447824
7 Series,2019,South America,Silver,Hybrid,Automatic,4.1,167235,78677,5996,Low,471747292
M3,2024,South America,Black,Petrol,Manual,4.8,9602,107426,1919,Low,206150494
5 Series,2021,Europe,Black,Hybrid,Manual,2.0,157110,87125,4874,Low,424647250
X1,2018,Asia,Red,Petrol,Manual,2.2,194212,36095,4716,Low,170224020
X1,2021,Africa,Grey,Petrol,Automatic,2.5,138605,70603,9787,High,690991561
X6,2018,South America,Grey,Hybrid,Automatic,3.2,109260,114414,427,Low,48854778
7 Series,2024,South America,Black,Diesel,Automatic,3.1,131788,39928,6929,Low,276661112
X5,2024,Asia,White,Electric,Automatic,3.5,46001,43450,3765,Low,163589250
X5,2018,Europe,Silver,Diesel,Automatic,4.1,17200,43348,5303,Low,229874444
5 Series,2018,North America,Grey,Electric,Manual,2.7,156200,101844,6805,Low,693048420
7 Series,2023,North America,Black,Petrol,Automatic,2.4,184904,64972,5026,Low,326549272
7 Series,2018,Asia,Silver,Diesel,Manual,3.6,180097,43362,4986,Low,216202932
i3,2018,Asia,Grey,Petrol,Manual,4.9,11860,109094,3835,Low,418375490
X6,2024,Middle East,Black,Electric,Automatic,3.3,199339,36805,5769,Low,212328045
i8,2022,Asia,Silver,Diesel,Manual,3.9,58326,39240,5181,Low,203302440
X3,2021,Middle East,Silver,Hybrid,Manual,3.8,115530,49536,1017,Low,50378112
M3,2019,South America,Black,Electric,Manual,3.2,33607,87833,2993,Low,262884169
3 Series,2020,North America,Blue,Hybrid,Automatic,4.2,115171,101578,5739,Low,582956142
5 Series,2019,Africa,White,Hybrid,Manual,2.2,160262,71411,4037,Low,288286207
M3,2023,South America,Blue,Petrol,Automatic,3.0,180644,83459,5216,Low,435322144
X5,2024,Asia,Black,Electric,Manual,3.4,82611,106586,6816,Low,726490176
7 Series,2019,Middle East,Black,Electric,Automatic,4.6,44161,91688,148,Low,13569824
M5,2024,Middle East,Blue,Diesel,Manual,1.7,82589,87131,3338,Low,290843278
i3,2019,Europe,Blue,Electric,Manual,2.9,12698,49328,6042,Low,298039776
X1,2022,South America,Blue,Diesel,Automatic,3.8,18200,47317,4429,Low,209566993
M5,2019,Middle East,Black,Hybrid,Manual,2.2,60975,49940,8653,High,432130820
X3,2021,Africa,White,Diesel,Manual,4.8,24032,62943,3346,Low,210607278
M5,2023,South America,Silver,Diesel,Manual,4.0,198674,65346,1194,Low,78023124
3 Series,2021,South America,Red,Diesel,Automatic,3.7,134150,48021,4961,Low,238232181
5 Series,2019,North America,White,Petrol,Manual,4.6,17535,36174,8386,High,303355164
i8,2018,Europe,White,Hybrid,Manual,1.7,32808,119954,6268,Low,751871672
X3,2023,Africa,Silver,Petrol,Manual,2.9,170572,76178,9491,High,723005398
i3,2024,Africa,Red,Hybrid,Automatic,4.4,96645,95227,4451,Low,423855377
X6,2021,North America,White,Hybrid,Manual,1.6,79308,60834,8927,High,543065118
X5,2018,North America,Grey,Diesel,Manual,3.6,189910,105345,6503,Low,685058535
M5,2024,Africa,Blue,Diesel,Automatic,4.4,19117,69928,4187,Low,292788536
3 Series,2023,North America,Grey,Hybrid,Manual,3.1,152953,66588,9163,High,610145844
i3,2023,Middle East,White,Petrol,Automatic,1.9,188376,75393,213,Low,16058709
X3,2024,Africa,White,Petrol,Manual,4.6,66609,117921,8783,High,1035700143
i3,2023,North America,Black,Electric,Automatic,2.3,22000,65826,3340,Low,219858840
i3,2018,Africa,Silver,Electric,Manual,3.7,189728,65447,4251,Low,278215197
i8,2022,Asia,Grey,Petrol,Automatic,1.7,25469,89466,5555,Low,496983630
X3,2023,Africa,Black,Petrol,Automatic,3.8,30794,78495,5753,Low,451581735
M3,2024,Europe,Silver,Petrol,Manual,1.8,44871,107585,4954,Low,532976090
3 Series,2024,Africa,Blue,Electric,Automatic,3.4,168148,52121,8431,High,439432151
X6,2018,Africa,Grey,Petrol,Manual,3.2,52312,37501,5352,Low,200705352
3 Series,2019,Africa,Red,Diesel,Automatic,1.5,125835,115551,1884,Low,217698084
X3,2020,Africa,Black,Petrol,Manual,3.4,127762,80508,7984,High,642775872
M3,2018,Asia,Blue,Electric,Manual,4.1,175187,63444,1579,Low,100178076
5 Series,2021,Europe,Blue,Hybrid,Automatic,2.9,180139,37163,4104,Low,152516952
M3,2018,Middle East,Blue,Hybrid,Automatic,1.7,147747,68553,5719,Low,392054607
X1,2024,Africa,Blue,Electric,Manual,2.2,149777,95692,5102,Low,488220584
X5,2018,Europe,Red,Electric,Manual,4.6,166668,88899,9203,High,818137497
M5,2020,Africa,Black,Electric,Automatic,4.4,35788,60756,2069,Low,125704164
M5,2020,Africa,Grey,Hybrid,Manual,2.8,124811,82839,8762,High,725835318
M3,2020,Middle East,White,Petrol,Automatic,2.7,143791,73201,5564,Low,407290364
X6,2022,Africa,White,Diesel,Automatic,3.8,62018,52344,2267,Low,118663848
X1,2021,Middle East,Silver,Hybrid,Manual,1.5,199611,88397,8708,High,769761076
7 Series,2022,Middle East,Black,Hybrid,Automatic,3.7,199726,83511,7562,High,631510182
X6,2019,Middle East,Black,Hybrid,Automatic,3.1,158397,73594,7485,High,550851090
X5,2024,South America,Black,Electric,Manual,2.6,92720,81550,9562,High,779781100
3 Series,2022,Africa,Blue,Electric,Manual,1.6,72535,94623,1965,Low,185934195
X6,2020,Europe,Black,Petrol,Manual,4.8,123222,72656,8609,High,625495504
M5,2023,North America,Blue,Hybrid,Manual,3.8,455,47982,1099,Low,52732218
M5,2019,Europe,Black,Hybrid,Automatic,3.1,79261,98374,4133,Low,406579742
5 Series,2018,Asia,White,Electric,Manual,1.7,11663,59486,9263,High,551018818
M3,2022,Middle East,Blue,Hybrid,Manual,3.7,37211,99844,6764,Low,675344816
i3,2020,Africa,Black,Hybrid,Automatic,1.8,19749,115853,2430,Low,281522790
X6,2020,Asia,Blue,Hybrid,Automatic,1.9,74298,94214,9487,High,893808218
X3,2023,South America,Silver,Electric,Automatic,2.4,93330,82285,6433,Low,529339405
7 Series,2019,Africa,Blue,Hybrid,Automatic,2.9,45320,72083,2060,Low,148490980
X1,2021,Middle East,Silver,Electric,Manual,2.6,199446,89069,1515,Low,134939535
i3,2019,Europe,Silver,Electric,Automatic,3.5,64182,80049,2671,Low,213810879
3 Series,2024,Asia,White,Petrol,Manual,3.0,72556,84915,8392,High,712606680
i3,2019,North America,Grey,Diesel,Manual,2.7,79928,74548,6096,Low,454444608
i8,2020,Europe,Grey,Electric,Manual,3.9,915,90801,3639,Low,330424839
X1,2020,Africa,Red,Petrol,Manual,3.7,52910,40363,7992,High,322581096
i3,2019,Africa,Black,Hybrid,Automatic,4.1,171635,96764,5741,Low,555522124
5 Series,2024,Asia,Silver,Diesel,Automatic,1.7,198813,68139,9983,High,680231637
5 Series,2023,North America,Red,Diesel,Manual,4.9,196803,57796,1604,Low,92704784
5 Series,2023,Middle East,Grey,Hybrid,Manual,2.8,175619,66325,3145,Low,208592125
X5,2024,Middle East,Grey,Hybrid,Automatic,4.0,40405,53115,6955,Low,369414825
X3,2018,Middle East,Grey,Diesel,Automatic,4.9,199519,71761,498,Low,35736978
5 Series,2019,Africa,White,Hybrid,Manual,3.5,69449,42506,5292,Low,224941752
X6,2023,Asia,Blue,Electric,Automatic,4.3,100741,62964,5826,Low,366828264
3 Series,2022,Asia,Silver,Diesel,Automatic,4.8,84588,88547,5523,Low,489045081
M5,2021,Asia,Silver,Petrol,Automatic,1.8,12256,81457,9484,High,772538188
i8,2020,Middle East,Blue,Diesel,Automatic,2.1,14093,59825,1053,Low,62995725
X6,2021,South America,Black,Diesel,Manual,2.0,121834,37897,3406,Low,129077182
i8,2021,Europe,Silver,Diesel,Manual,1.8,51099,66512,8102,High,538880224
X5,2023,South America,Red,Hybrid,Manual,4.4,131316,57027,1499,Low,85483473
X1,2022,North America,Red,Hybrid,Automatic,4.5,132293,42604,4701,Low,200281404
M3,2018,North America,Red,Electric,Manual,4.6,169101,100186,264,Low,26449104
X6,2018,Europe,White,Hybrid,Automatic,2.0,50525,105129,1628,Low,171150012
5 Series,2020,South America,Blue,Hybrid,Manual,4.7,19530,74535,3083,Low,229791405
X3,2021,Europe,Grey,Diesel,Manual,2.3,154189,77757,4281,Low,332877717
X1,2018,Africa,White,Electric,Manual,2.4,133532,110544,537,Low,59362128
M3,2023,North America,Grey,Electric,Manual,3.8,32815,44880,6996,Low,313980480
X1,2023,Asia,Blue,Petrol,Automatic,3.1,143879,71821,7097,High,509713637
i8,2023,South America,Grey,Electric,Manual,3.8,17072,112841,7849,High,885689009
i3,2023,Europe,White,Electric,Manual,2.0,97414,104479,321,Low,33537759
i8,2021,Europe,Silver,Petrol,Manual,2.4,128407,52835,3399,Low,179586165
i8,2022,Africa,Black,Diesel,Manual,3.9,29267,56213,1521,Low,85499973
5 Series,2024,Middle East,Blue,Petrol,Manual,4.5,126015,46667,3510,Low,163801170
M5,2018,Middle East,Black,Electric,Automatic,1.5,44720,52440,933,Low,48926520
M3,2020,Africa,Grey,Petrol,Manual,3.2,85876,33726,7450,High,251258700
M3,2022,Asia,Blue,Petrol,Manual,3.5,131692,72644,1207,Low,87681308
7 Series,2019,Africa,Silver,Petrol,Automatic,1.8,181768,56683,1467,Low,83153961
X1,2020,South America,Blue,Hybrid,Automatic,5.0,91560,89588,5815,Low,520954220
X5,2019,North America,Blue,Diesel,Manual,3.8,194249,66297,8841,High,586131777
i3,2019,Africa,Blue,Petrol,Automatic,2.6,75608,98652,4227,Low,417002004
M5,2024,Africa,Blue,Diesel,Automatic,3.6,49807,58869,1927,Low,113440563
7 Series,2018,Europe,Red,Diesel,Automatic,2.9,30366,68357,6014,Low,411098998
X5,2018,North America,Black,Petrol,Automatic,4.5,164374,116117,6996,Low,812354532
X5,2024,South America,Grey,Electric,Manual,4.2,152809,80602,5782,Low,466040764
3 Series,2019,Europe,Blue,Diesel,Automatic,3.0,126955,110099,9465,High,1042087035
5 Series,2022,South America,Grey,Electric,Manual,3.7,189541,55506,8424,High,467582544
i8,2021,Africa,White,Petrol,Automatic,1.8,83119,87581,6766,Low,592573046
M5,2021,Middle East,White,Diesel,Automatic,1.8,181918,62623,3124,Low,195634252
X6,2018,Africa,White,Petrol,Automatic,4.9,192132,76909,5053,Low,388621177
X3,2024,Asia,Red,Hybrid,Manual,3.2,85826,84197,1632,Low,137409504
X5,2022,Africa,Grey,Hybrid,Automatic,3.2,98981,94049,4562,Low,429051538
X1,2019,North America,Black,Electric,Automatic,3.7,57588,53353,3942,Low,210317526
X6,2024,Europe,Red,Electric,Automatic,2.7,152094,34360,3827,Low,131495720
M5,2019,Europe,White,Hybrid,Automatic,3.7,137733,90098,6045,Low,544642410
X1,2019,Asia,Silver,Petrol,Automatic,4.9,22537,33067,1204,Low,39812668
5 Series,2021,South America,Black,Petrol,Manual,3.0,127501,82302,3384,Low,278509968
i3,2024,North America,Black,Hybrid,Manual,2.7,192326,48617,4670,Low,227041390
i8,2019,Middle East,Silver,Hybrid,Manual,2.0,175831,110839,9559,High,1059510001
X6,2021,Middle East,Red,Diesel,Automatic,4.9,181624,102188,6510,Low,665243880
X3,2021,Africa,Blue,Hybrid,Automatic,2.0,342,68371,4676,Low,319702796
X1,2020,Middle East,Red,Hybrid,Manual,3.4,104688,58034,153,Low,8879202
M3,2022,Middle East,Grey,Electric,Automatic,4.3,196250,67900,6098,Low,414054200
X5,2018,Europe,White,Electric,Automatic,2.4,141162,90511,4132,Low,373991452
X5,2021,Africa,Silver,Petrol,Manual,4.4,176237,108600,946,Low,102735600
M5,2018,Africa,Blue,Hybrid,Automatic,4.5,133500,58728,1646,Low,96666288
X3,2018,South America,Grey,Electric,Automatic,3.7,29557,116266,3816,Low,443671056
i8,2018,Europe,Blue,Diesel,Automatic,2.5,98927,118975,3716,Low,442111100
M3,2019,Europe,Black,Petrol,Automatic,2.5,64248,35575,7652,High,272219900
X5,2024,Asia,Grey,Diesel,Automatic,1.7,56174,95216,5540,Low,527496640
5 Series,2018,Middle East,Red,Electric,Automatic,1.9,137694,109699,6349,Low,696478951
X3,2021,Asia,Black,Petrol,Automatic,2.4,67593,78453,1683,Low,132036399
X3,2024,Africa,White,Hybrid,Manual,3.3,47237,107648,6081,Low,654607488
X6,2018,South America,Blue,Hybrid,Manual,4.7,74600,79300,2336,Low,185244800
X6,2022,Africa,Black,Hybrid,Automatic,3.7,98964,94963,9421,High,894646423
i3,2018,Europe,Grey,Diesel,Manual,1.6,135055,40177,8768,High,352271936
i3,2024,Middle East,Grey,Petrol,Automatic,2.8,3224,91284,7196,High,656879664
X3,2018,Middle East,Grey,Diesel,Manual,3.9,128618,40814,4238,Low,172969732
M5,2021,North America,Red,Electric,Automatic,3.0,117063,119452,3146,Low,375795992
5 Series,2023,Asia,Grey,Petrol,Manual,3.9,159757,52918,9527,High,504149786
X5,2022,South America,Black,Petrol,Automatic,4.7,27990,87977,5351,Low,470764927
5 Series,2024,Asia,Silver,Hybrid,Automatic,3.7,115259,102528,2693,Low,276107904
X6,2024,Asia,Blue,Diesel,Automatic,4.9,178636,44305,5325,Low,235924125
M5,2022,South America,Silver,Diesel,Automatic,4.2,154272,114766,9994,High,1146971404
i8,2024,North America,Blue,Petrol,Manual,3.4,109217,33071,8748,High,289305108
5 Series,2022,South America,White,Hybrid,Automatic,4.5,133919,48865,2005,Low,97974325
X6,2022,Europe,Grey,Petrol,Manual,3.0,50614,87504,9275,High,811599600
M3,2024,Asia,Black,Electric,Manual,4.6,50460,115150,5054,Low,581968100
7 Series,2024,Asia,Blue,Hybrid,Manual,1.6,135066,105650,3545,Low,374529250
5 Series,2024,Middle East,Blue,Diesel,Manual,2.7,113612,58300,215,Low,12534500
X5,2018,Asia,White,Diesel,Manual,4.0,4733,53624,8535,High,457680840
M3,2023,South America,Blue,Electric,Manual,1.8,93510,79710,4415,Low,351919650
M3,2023,Middle East,Blue,Electric,Manual,4.9,23004,101174,3654,Low,369689796
5 Series,2019,Asia,White,Hybrid,Manual,2.2,181095,51953,4902,Low,254673606
X6,2022,North America,Red,Petrol,Automatic,2.2,40833,98352,7185,High,706659120
i3,2021,Middle East,Blue,Petrol,Manual,4.5,95501,34344,2654,Low,91148976
7 Series,2023,South America,Red,Petrol,Automatic,3.8,154567,83668,8436,High,705823248
M3,2020,Asia,Red,Hybrid,Automatic,3.7,149544,105140,4669,Low,490898660
M3,2018,Asia,Grey,Hybrid,Automatic,4.0,129927,65835,6907,Low,454722345
i8,2018,South America,Red,Petrol,Manual,4.1,148524,65920,7561,High,498421120
5 Series,2018,Asia,Black,Electric,Automatic,3.0,17268,61285,2301,Low,141016785
7 Series,2024,Middle East,Silver,Electric,Manual,3.1,71813,57070,383,Low,21857810
i3,2018,Africa,Blue,Diesel,Manual,2.8,20914,69340,9827,High,681404180
M3,2021,Europe,White,Hybrid,Manual,3.6,175069,82420,5683,Low,468392860
i8,2020,Asia,White,Electric,Manual,2.6,191254,99615,7886,High,785563890
X6,2021,North America,Blue,Electric,Automatic,4.2,199693,53503,3208,Low,171637624
i3,2019,Middle East,Blue,Hybrid,Manual,3.5,173250,44840,1387,Low,62193080
X3,2018,Asia,White,Hybrid,Manual,2.8,169066,110060,3702,Low,407442120
i8,2024,Middle East,Grey,Diesel,Automatic,1.6,120487,55193,7695,High,424710135
5 Series,2022,Middle East,Blue,Petrol,Manual,1.8,138768,83628,3877,Low,324225756
i3,2020,Asia,Blue,Electric,Automatic,4.0,57726,79374,8461,High,671583414
7 Series,2018,Europe,Red,Electric,Manual,4.8,83386,74288,6219,Low,461997072
X5,2018,Europe,Silver,Petrol,Automatic,1.5,92043,78591,4115,Low,323401965
X3,2021,Middle East,Silver,Hybrid,Automatic,1.9,173840,74320,3024,Low,224743680
i8,2023,Asia,Red,Hybrid,Manual,3.5,35186,100282,264,Low,26474448
M3,2021,Middle East,Blue,Electric,Automatic,2.3,41311,96614,7555,High,729918770
i8,2024,Europe,Blue,Electric,Manual,1.6,118314,103499,1465,Low,151626035
i8,2024,South America,Silver,Hybrid,Automatic,2.8,18554,88907,1758,Low,156298506
X6,2021,Africa,Grey,Petrol,Manual,2.5,164179,33142,6534,Low,216549828
X1,2024,North America,Red,Diesel,Automatic,3.0,82470,90753,1664,Low,151012992
7 Series,2021,Asia,White,Hybrid,Manual,4.4,53201,111179,7582,High,842959178
X5,2018,Asia,Blue,Diesel,Manual,2.2,54460,40891,3550,Low,145163050
7 Series,2020,South America,Red,Hybrid,Automatic,3.2,193486,117340,7521,High,882514140
X5,2019,Europe,White,Petrol,Automatic,2.2,48106,83890,1119,Low,93872910
i3,2023,Africa,White,Hybrid,Manual,3.5,183177,42983,9940,High,427251020
i8,2022,Africa,Red,Petrol,Automatic,2.0,173123,90007,9509,High,855876563
i8,2023,Middle East,Blue,Diesel,Automatic,4.2,17510,101743,3548,Low,360984164
7 Series,2023,Africa,Silver,Diesel,Manual,2.0,7981,34163,1692,Low,57803796
i8,2021,Africa,Silver,Electric,Automatic,4.7,28406,107838,140,Low,15097320
3 Series,2022,Middle East,Grey,Hybrid,Manual,2.5,144872,50047,6327,Low,316647369
i3,2018,Middle East,Red,Electric,Automatic,2.8,102491,100941,2279,Low,230044539
X3,2018,Europe,Silver,Electric,Automatic,1.9,194771,52434,6480,Low,339772320
X6,2024,Asia,White,Petrol,Manual,2.9,180669,77190,3021,Low,233190990
i3,2019,North America,Silver,Electric,Manual,2.5,197288,113276,6144,Low,695967744
M5,2022,Europe,Blue,Diesel,Manual,1.6,167944,68719,371,Low,25494749
i8,2024,Middle East,White,Hybrid,Manual,1.5,129826,42739,3386,Low,144714254
X3,2019,Africa,Silver,Petrol,Manual,2.6,115437,44011,1871,Low,82344581
i8,2021,North America,Silver,Hybrid,Automatic,4.2,9907,47435,5241,Low,248606835
5 Series,2021,South America,Black,Electric,Automatic,2.9,179898,78435,1271,Low,99690885
X5,2020,Middle East,Silver,Diesel,Manual,2.1,43998,106313,8286,High,880909518
M5,2022,North America,Blue,Diesel,Automatic,2.9,137356,48261,3727,Low,179868747
5 Series,2022,Africa,Blue,Electric,Automatic,1.9,147952,39275,2077,Low,81574175
i8,2021,Asia,White,Diesel,Manual,2.0,97850,112864,9004,High,1016227456
X3,2022,South America,Blue,Hybrid,Manual,4.1,185471,91725,7664,High,702980400
M3,2021,South America,Black,Electric,Automatic,4.6,112710,88612,9092,High,805660304
M5,2023,Africa,Grey,Electric,Automatic,2.0,29101,76803,5646,Low,433629738
5 Series,2018,Asia,Red,Diesel,Automatic,4.9,174910,100848,8459,High,853073232
i3,2021,Asia,White,Electric,Automatic,1.5,199521,33796,6225,Low,210380100
X5,2023,South America,Grey,Electric,Automatic,2.6,90577,96905,7518,High,728531790
i3,2019,Middle East,Red,Petrol,Manual,2.1,188446,57515,4001,Low,230117515
X3,2018,Europe,Red,Electric,Automatic,2.4,169778,75304,6211,Low,467713144
i8,2020,Europe,Red,Diesel,Manual,4.4,14301,74797,505,Low,37772485
X3,2023,Middle East,Silver,Petrol,Automatic,2.7,118582,118154,1951,Low,230518454
X1,2022,Middle East,White,Petrol,Manual,3.3,168956,74511,5161,Low,384551271
X5,2024,South America,Blue,Diesel,Automatic,3.4,149399,61108,2675,Low,163463900
X3,2022,Middle East,White,Electric,Manual,4.1,128906,67533,2576,Low,173965008
3 Series,2021,Middle East,Blue,Electric,Automatic,2.3,82063,43964,5537,Low,243428668
X3,2018,North America,Red,Petrol,Manual,3.2,10154,119560,1760,Low,210425600
X3,2021,Middle East,Silver,Petrol,Automatic,2.3,102222,72705,6084,Low,442337220
i3,2023,Europe,Silver,Electric,Manual,3.8,129897,35666,4940,Low,176190040
i8,2021,South America,Silver,Hybrid,Automatic,2.3,132905,66884,7098,High,474742632
X6,2020,North America,Silver,Hybrid,Manual,3.6,93525,100704,6375,Low,641988000
5 Series,2019,Africa,Grey,Petrol,Automatic,2.4,1218,54759,741,Low,40576419
